지역명,공연시설수,공연장수,총좌석수,공연건수,개막편수,상연횟수,판매수,취소수,총티켓판매수,총티켓판매액
인천,112,147,177343,55,,162,107640,44433,63207,5500481500
경상도,630,848,842129,392,,1215,353376,105252,248124,11783838550
부산,200,255,411272,122,,403,103228,36772,66456,3656849090
대구,142,195,183465,124,,401,118551,31970,86581,3619684300
경북,121,159,87681,56,,105,54262,15062,39200,2285148500
경남,124,176,115675,63,,204,55124,16640,38484,1835366350
울산,43,63,44036,27,,102,22211,4808,17403,386790310
전라도,266,369,299461,135,,446,190751,72593,118158,9481099370
광주,73,111,87073,45,,162,128393,58795,69598,7513251160
전북,108,137,102632,58,,147,40865,10101,30764,1778869410
전남,85,121,109756,32,,137,21493,3697,17796,188978800
강원도,151,214,356780,46,,89,67789,22110,45679,4448818800
충청도,277,365,372381,154,,458,114062,31659,82403,4195702152
충남,99,139,76493,46,,91,46946,11473,35473,1956944502
대전,94,118,251270,76,,283,45150,11903,33247,1559828000
충북,68,77,36540,23,,72,17505,6804,10701,521028350
세종,16,31,8078,9,,12,4461,1479,2982,157901300
제주도,70,86,90075,19,,139,13502,2841,10661,368872700
합계,3284,4285,3433564,2086,,9340,2751361,980350,1771011,105706481615
서울,1354,1713,572314,968,,7883,2226571,924558,1302013,83694406764
경상도,630,848,842129,432,,1438,514284,183008,331276,26627822200
부산,200,255,411272,121,,435,205225,80000,125225,14106974710
대구,142,195,183465,119,,477,182586,72757,109829,9345358870
경북,121,159,87681,55,,109,51762,15125,36637,1419279320
울산,43,63,44036,20,,143,26274,5481,20793,1076710300
경남,124,176,115675,117,,274,48437,9645,38792,679499000
경기/인천,536,690,900424,328,,1462,424174,142476,281698,14477284190
경기,424,543,723081,254,,1203,314480,106831,207649,8256432490
인천,112,147,177343,74,,259,109694,35645,74049,6220851700
충청도,277,365,372381,152,,517,189786,70220,119566,9861017280
대전,94,118,251270,58,,255,128607,54836,73771,8295759590
충남,99,139,76493,52,,125,37321,9758,27563,1080788460
충북,68,77,36540,25,,111,14733,3115,11618,314173230
세종,16,31,8078,17,,26,9125,2511,6614,170296000
강원도,151,214,356780,88,,147,81944,37971,43973,3429804402
전라도,266,369,299461,123,,530,89079,22624,66455,2556570420
전북,108,137,102632,47,,164,39088,10089,28999,1002403700
광주,73,111,87073,45,,192,33298,9054,24244,901239720
전남,85,121,109756,31,,174,16693,3481,13212,652927000
제주도,70,86,90075,27,,171,17647,5245,12402,551313800
합계,3284,4285,3433564,2118,,12148,3543485,1386102,2157383,141198219056
서울,1354,1713,572314,1050,,6983,1962216,822555,1139661,77911752727
경기/인천,536,690,900424,342,,1023,693363,261658,431705,37409828509
경기,424,543,723081,276,,860,502794,177005,325789,25245619909
인천,112,147,177343,66,,163,190569,84653,105916,12164208600
경상도,630,848,842129,422,,1284,286821,80376,206445,7103360710
부산,200,255,411272,136,,464,94209,31870,62339,2893206270
경남,124,176,115675,71,,224,48573,11421,37152,1196526300
대구,142,195,183465,117,,396,69653,18768,50885,1125638600
경북,121,159,87681,64,,110,42288,12056,30232,989694800
울산,43,63,44036,34,,90,32098,6261,25837,898294740
충청도,277,365,372381,168,,487,95104,25883,69221,1652663520
대전,94,118,251270,75,,269,38183,10317,27866,890503400
충남,99,139,76493,50,,85,35311,10292,25019,408777200
세종,16,31,8078,18,,26,11368,2999,8369,211083300
충북,68,77,36540,25,,107,10242,2275,7967,142299620
전라도,266,369,299461,164,,478,103612,28510,75102,1456332200
전북,108,137,102632,73,,152,40199,10962,29237,614860500
전남,85,121,109756,49,,180,40760,13778,26982,546638200
광주,73,111,87073,42,,146,22653,3770,18883,294833500
강원도,151,214,356780,52,,119,31456,8097,23359,985413400
제주도,70,86,90075,22,,138,11329,2478,8851,492326500
합계,3284,4285,3433564,2220,,10512,3183901,1229557,1954344,127011677566
서울,1354,1713,572314,1056,,7057,1935122,744573,1190549,92479777292
경기/인천,536,690,900424,433,,1138,457791,129663,328128,20912714212
경기,424,543,723081,354,,931,316987,82881,234106,11835922792
인천,112,147,177343,79,,207,140804,46782,94022,9076791420
경상도,630,848,842129,410,,1303,407264,130313,276951,15895067500
부산,200,255,411272,131,,463,186675,68019,118656,9086904200
대구,142,195,183465,116,,377,105759,33387,72372,3653271800
경남,124,176,115675,78,,253,51708,13970,37738,1668712550
경북,121,159,87681,50,,97,43244,10828,32416,1184224500
울산,43,63,44036,35,,113,19878,4109,15769,301954450
전라도,266,369,299461,170,,547,110631,34850,75781,3043189700
전북,108,137,102632,56,,140,42658,15861,26797,1453128800
광주,73,111,87073,76,,237,46555,12917,33638,1251263000
전남,85,121,109756,38,,170,21418,6072,15346,338797900
충청도,277,365,372381,146,,480,92682,24228,68454,2917094475
대전,94,118,251270,64,,287,39142,11286,27856,2199547040
세종,16,31,8078,21,,38,21338,5339,15999,395256100
충북,68,77,36540,27,,106,12856,2541,10315,173716835
충남,99,139,76493,34,,49,19346,5062,14284,148574500
강원도,151,214,356780,47,,110,31990,7146,24844,1079227300
제주도,70,86,90075,20,,136,12226,3946,8280,252372200
합계,3284,4285,3433564,2282,,10771,3047706,1074719,1972987,136579442679
서울,1354,1713,572314,1229,,6668,1589766,594996,994770,68999797671
경기/인천,536,690,900424,430,,966,464574,172160,292414,14098449660
경기,424,543,723081,335,,766,362004,124040,237964,12222513360
인천,112,147,177343,95,,200,102570,48120,54450,1875936300
경상도,630,848,842129,492,,1312,374368,123964,250404,9915806980
부산,200,255,411272,153,,450,109224,45956,63268,3532327950
대구,142,195,183465,149,,422,99020,29480,69540,2494754950
경북,121,159,87681,75,,149,73258,22271,50987,1847282000
경남,124,176,115675,73,,182,68412,21638,46774,1364769200
울산,43,63,44036,42,,109,24454,4619,19835,676672880
충청도,277,365,372381,191,,530,115396,34578,80818,3045730372
충북,68,77,36540,30,,113,28688,9370,19318,1206296900
충남,99,139,76493,52,,100,40726,12408,28318,934850902
대전,94,118,251270,87,,288,35353,9852,25501,707594320
세종,16,31,8078,22,,29,10629,2948,7681,196988250
전라도,266,369,299461,162,,433,106374,28768,77606,2518119420
광주,73,111,87073,71,,185,42524,10525,31999,1377869120
전북,108,137,102632,42,,84,24599,6497,18102,835568200
전남,85,121,109756,49,,164,39251,11746,27505,304682100
강원도,151,214,356780,68,,131,36765,8434,28331,1136466899
제주도,70,86,90075,23,,129,11167,3239,7928,253823200
합계,3284,4285,3433564,2595,,10169,2698410,966139,1732271,99968194202
서울,1354,1713,572314,1232,,6892,2031735,843536,1188199,90286326897
경상도,630,848,842129,503,,1343,444708,151330,293378,18220364400
대구,142,195,183465,158,,454,180428,57939,122489,9951113900
부산,200,255,411272,157,,483,140394,60686,79708,4943261550
경남,124,176,115675,77,,150,55335,18180,37155,2313019850
경북,121,159,87681,71,,126,40925,8805,32120,556729000
울산,43,63,44036,40,,130,27626,5720,21906,456240100
경기/인천,536,690,900424,446,,1069,526520,182565,343955,16919408360
경기,424,543,723081,364,,876,347936,97514,250422,10129962360
인천,112,147,177343,82,,193,178584,85051,93533,6789446000
전라도,266,369,299461,167,,466,154912,61637,93275,5668830600
광주,73,111,87073,59,,165,80108,33476,46632,4087651300
전북,108,137,102632,59,,125,35773,10722,25051,866578100
전남,85,121,109756,49,,176,39031,17439,21592,714601200
충청도,277,365,372381,207,,653,126265,34729,91536,3304212200
대전,94,118,251270,93,,370,43863,12508,31355,1345215900
충북,68,77,36540,33,,134,23612,8087,15525,1138857000
세종,16,31,8078,21,,37,18407,5132,13275,431774000
충남,99,139,76493,60,,112,40383,9002,31381,388365300
강원도,151,214,356780,68,,122,39643,11681,27962,1332547300
제주도,70,86,90075,30,,150,22109,7637,14472,804342200
합계,3284,4285,3433564,2653,,10695,3345892,1293115,2052777,136536031957
서울,1354,1713,572314,896,,5702,1950255,795768,1154487,93650875284
경상도,630,848,842129,365,,1398,557681,227113,330568,24517280780
부산,200,255,411272,112,,501,257459,113773,143686,13889903350
대구,142,195,183465,124,,514,180368,74212,106156,6612022950
경남,124,176,115675,63,,189,58325,21795,36530,1973377400
경북,121,159,87681,41,,85,42761,12631,30130,1563499600
울산,43,63,44036,25,,109,18768,4702,14066,478477480
경기/인천,536,690,900424,354,,1145,438524,163936,274588,15942077240
경기,424,543,723081,294,,961,344729,124667,220062,12089942840
인천,112,147,177343,60,,184,93795,39269,54526,3852134400
충청도,277,365,372381,162,,606,136960,40428,96532,4867022470
대전,94,118,251270,61,,315,52316,16128,36188,1806876920
충북,68,77,36540,39,,157,32722,9818,22904,1598410900
충남,99,139,76493,50,,109,36334,10292,26042,739921050
세종,16,31,8078,12,,25,15588,4190,11398,721813600
전라도,266,369,299461,127,,429,119660,47437,72223,2608679150
광주,73,111,87073,50,,190,53771,17277,36494,1455441200
전북,108,137,102632,48,,115,24703,6403,18300,657526600
전남,85,121,109756,29,,124,41186,23757,17429,495711350
강원도,151,214,356780,42,,116,29000,8159,20841,600199540
제주도,70,86,90075,22,,122,14950,2846,12104,480240000
